| Run on Mon Aug 10 14:41:47 2026
|
|gmx_MMPBSA Version=1.6.5 based on MMPBSA.py v.16.0
|Complex Structure file:                                                  MD.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-191"
|Ligand mask:                    ":192"
|Ligand residue name is:         "LIG"
|
|Calculations performed using 251 complex frames
|Poisson Boltzmann calculations performed using internal PBSA solver in sander
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

POISSON BOLTZMANN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    603.18         20.59      20.59         1.30       1.30
ANGLE                  1537.38         30.65      30.65         1.93       1.93
DIHED                  1883.29         18.55      18.55         1.17       1.17
VDWAALS               -1522.53         16.48      16.48         1.04       1.04
EEL                  -12602.34         86.20      86.20         5.44       5.44
1-4 VDW                 710.27         11.26      11.26         0.71       0.71
1-4 EEL                6396.40         36.00      36.00         2.27       2.27
EPB                   -3499.51         65.94      65.94         4.16       4.16
ENPOLAR                  52.50          0.66       0.66         0.04       0.04
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -2994.35        104.08      87.36         6.57       5.51
GSOLV                 -3447.02         65.94      65.70         4.16       4.15

TOTAL                 -6441.37        123.21      43.36         7.78       2.74

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                    595.84         20.42      20.42         1.29       1.29
ANGLE                  1522.14         30.29      30.29         1.91       1.91
DIHED                  1871.02         18.03      18.03         1.14       1.14
VDWAALS               -1497.51         16.53      16.53         1.04       1.04
EEL                  -12752.67         85.59      85.59         5.40       5.40
1-4 VDW                 700.19         11.26      11.26         0.71       0.71
1-4 EEL                6709.70         35.90      35.90         2.27       2.27
EPB                   -3502.09         65.49      65.49         4.13       4.13
ENPOLAR                  52.92          0.67       0.67         0.04       0.04
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -2851.30        103.32      87.10         6.52       5.50
GSOLV                 -3449.17         65.50      65.25         4.13       4.12

TOTAL                 -6300.46        122.33      43.25         7.72       2.73

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                      7.34          2.22       2.22         0.14       0.14
ANGLE                    15.24          2.59       2.59         0.16       0.16
DIHED                    12.28          3.02       3.02         0.19       0.19
VDWAALS                  -0.69          0.82       0.82         0.05       0.05
EEL                     167.94          1.46       1.46         0.09       0.09
1-4 VDW                  10.08          0.90       0.90         0.06       0.06
1-4 EEL                -313.31          1.94       1.94         0.12       0.12
EPB                     -26.42          0.38       0.38         0.02       0.02
ENPOLAR                   2.33          0.02       0.02         0.00       0.00
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                   -101.12          5.30       3.34         0.33       0.21
GSOLV                   -24.08          0.38       0.38         0.02       0.02

TOTAL                  -125.20          5.31       3.33         0.34       0.21

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                     0.00          2.05       0.00         0.13       0.00
ΔANGLE                   -0.00          2.23       0.00         0.14       0.00
ΔDIHED                   -0.00          2.51       0.00         0.16       0.00
ΔVDWAALS                -24.32          0.77       2.16         0.05       0.14
ΔEEL                    -17.61          0.84       4.20         0.05       0.27
Δ1-4 VDW                 -0.00          0.90       0.00         0.06       0.00
Δ1-4 EEL                  0.00          1.85       0.00         0.12       0.00
ΔEPB                     28.99          0.06       4.47         0.00       0.28
ΔENPOLAR                 -2.76          0.02       0.11         0.00       0.01
ΔEDISPER                  0.00          0.00       0.00         0.00       0.00

ΔGGAS                   -41.93          1.14       4.11         0.07       0.26
ΔGSOLV                   26.23          0.07       4.47         0.00       0.28

ΔTOTAL                  -15.70          1.14       2.63         0.07       0.17
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
