| Run on Mon Aug 10 14:48:42 2026
|
|gmx_MMPBSA Version=1.6.5 based on MMPBSA.py v.16.0
|Complex Structure file:                                                  MD.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-387"
|Ligand mask:                    ":388"
|Ligand residue name is:         "LIG"
|
|Calculations performed using 251 complex frames
|Poisson Boltzmann calculations performed using internal PBSA solver in sander
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

POISSON BOLTZMANN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1215.22         29.64      29.64         1.87       1.87
ANGLE                  3252.23         43.05      43.05         2.72       2.72
DIHED                  3981.46         25.72      25.72         1.62       1.62
VDWAALS               -3214.63         25.81      25.81         1.63       1.63
EEL                  -27273.61        124.43     124.43         7.85       7.85
1-4 VDW                1461.74         15.55      15.55         0.98       0.98
1-4 EEL               15841.62         49.32      49.32         3.11       3.11
EPB                   -4813.16        109.55     109.55         6.91       6.91
ENPOLAR                  97.01          1.57       1.57         0.10       0.10
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -4735.96        149.05     130.76         9.41       8.25
GSOLV                 -4716.15        109.56     109.01         6.92       6.88

TOTAL                 -9452.12        184.99      64.28        11.68       4.06

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1207.65         29.45      29.45         1.86       1.86
ANGLE                  3226.98         43.37      43.37         2.74       2.74
DIHED                  3951.06         25.67      25.67         1.62       1.62
VDWAALS               -3196.98         24.31      24.31         1.53       1.53
EEL                  -27229.28        123.93     123.93         7.82       7.82
1-4 VDW                1452.97         15.42      15.42         0.97       0.97
1-4 EEL               15816.47         49.20      49.20         3.11       3.11
EPB                   -4824.11        107.52     107.52         6.79       6.79
ENPOLAR                  96.44          1.20       1.20         0.08       0.08
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -4771.14        148.38     128.71         9.37       8.12
GSOLV                 -4727.68        107.52     107.10         6.79       6.76

TOTAL                 -9498.82        183.24      64.37        11.57       4.06

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                      7.57          2.05       2.05         0.13       0.13
ANGLE                    25.25          3.28       3.28         0.21       0.21
DIHED                    30.41          1.46       1.46         0.09       0.09
VDWAALS                  -3.78          0.94       0.94         0.06       0.06
EEL                     -24.28          0.79       0.79         0.05       0.05
1-4 VDW                   8.77          1.28       1.28         0.08       0.08
1-4 EEL                  25.15          0.86       0.86         0.05       0.05
EPB                     -15.22          0.48       0.48         0.03       0.03
ENPOLAR                   2.23          0.02       0.02         0.00       0.00
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                     69.09          4.58       4.02         0.29       0.25
GSOLV                   -13.00          0.48       0.48         0.03       0.03

TOTAL                    56.09          4.61       4.00         0.29       0.25

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          1.86       0.00         0.12       0.00
ΔANGLE                    0.00          2.96       0.00         0.19       0.00
ΔDIHED                    0.00          1.40       0.00         0.09       0.00
ΔVDWAALS                -13.87          0.56       7.88         0.04       0.50
ΔEEL                    -20.04          0.30      11.69         0.02       0.74
Δ1-4 VDW                  0.00          1.15       0.00         0.07       0.00
Δ1-4 EEL                  0.00          0.74       0.00         0.05       0.00
ΔEPB                     26.17          1.55      14.34         0.10       0.91
ΔENPOLAR                 -1.65          0.34       0.87         0.02       0.06
ΔEDISPER                  0.00          0.00       0.00         0.00       0.00

ΔGGAS                   -33.91          0.63      18.38         0.04       1.16
ΔGSOLV                   24.52          1.59      13.54         0.10       0.85

ΔTOTAL                   -9.39          1.71       5.36         0.11       0.34
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
