| Run on Mon Aug 10 14:54:58 2026
|
|gmx_MMPBSA Version=1.6.5 based on MMPBSA.py v.16.0
|Complex Structure file:                                                  MD.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-387"
|Ligand mask:                    ":388"
|Ligand residue name is:         "LIG"
|
|Calculations performed using 251 complex frames
|Poisson Boltzmann calculations performed using internal PBSA solver in sander
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

POISSON BOLTZMANN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1226.69         32.87      32.87         2.07       2.07
ANGLE                  3263.70         42.13      42.13         2.66       2.66
DIHED                  3983.04         22.26      22.26         1.40       1.40
VDWAALS               -3222.70         24.80      24.80         1.57       1.57
EEL                  -27326.74        114.65     114.65         7.24       7.24
1-4 VDW                1454.52         16.63      16.63         1.05       1.05
1-4 EEL               15787.92         49.82      49.82         3.14       3.14
EPB                   -4743.41         90.28      90.28         5.70       5.70
ENPOLAR                  94.87          1.12       1.12         0.07       0.07
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -4833.57        140.95     111.21         8.90       7.02
GSOLV                 -4648.53         90.29      89.83         5.70       5.67

TOTAL                 -9482.11        167.39      62.06        10.57       3.92

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1220.46         32.65      32.65         2.06       2.06
ANGLE                  3241.56         41.35      41.35         2.61       2.61
DIHED                  3949.35         22.15      22.15         1.40       1.40
VDWAALS               -3188.39         24.43      24.43         1.54       1.54
EEL                  -27327.26        114.47     114.47         7.23       7.23
1-4 VDW                1449.19         16.53      16.53         1.04       1.04
1-4 EEL               15802.33         49.80      49.80         3.14       3.14
EPB                   -4748.79         90.01      90.01         5.68       5.68
ENPOLAR                  95.79          1.11       1.11         0.07       0.07
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -4852.75        140.43     111.08         8.86       7.01
GSOLV                 -4652.99         90.02      89.56         5.68       5.65

TOTAL                 -9505.75        166.80      61.88        10.53       3.91

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                      6.22          1.97       1.97         0.12       0.12
ANGLE                    22.14          3.64       3.64         0.23       0.23
DIHED                    33.70          1.92       1.92         0.12       0.12
VDWAALS                  -1.57          1.19       1.19         0.08       0.08
EEL                       1.43          0.53       0.53         0.03       0.03
1-4 VDW                   5.33          0.89       0.89         0.06       0.06
1-4 EEL                 -14.41          0.59       0.59         0.04       0.04
EPB                     -10.78          0.38       0.38         0.02       0.02
ENPOLAR                   2.30          0.02       0.02         0.00       0.00
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                     52.85          4.87       4.08         0.31       0.26
GSOLV                    -8.49          0.38       0.38         0.02       0.02

TOTAL                    44.36          4.88       4.09         0.31       0.26

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                     0.00          1.75       0.00         0.11       0.00
ΔANGLE                    0.00          2.86       0.00         0.18       0.00
ΔDIHED                    0.00          1.82       0.00         0.11       0.00
ΔVDWAALS                -32.75          0.82       2.05         0.05       0.13
ΔEEL                     -0.92          0.36       1.70         0.02       0.11
Δ1-4 VDW                  0.00          0.79       0.00         0.05       0.00
Δ1-4 EEL                 -0.00          0.57       0.00         0.04       0.00
ΔEPB                     16.17          0.11       1.90         0.01       0.12
ΔENPOLAR                 -3.22          0.02       0.08         0.00       0.00
ΔEDISPER                  0.00          0.00       0.00         0.00       0.00

ΔGGAS                   -33.66          0.90       2.58         0.06       0.16
ΔGSOLV                   12.95          0.11       1.90         0.01       0.12

ΔTOTAL                  -20.72          0.90       2.50         0.06       0.16
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
