| Run on Mon Aug 10 15:02:58 2026
|
|gmx_MMPBSA Version=1.6.5 based on MMPBSA.py v.16.0
|Complex Structure file:                                                  MD.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-470"
|Ligand mask:                    ":471"
|Ligand residue name is:         "LIG"
|
|Calculations performed using 251 complex frames
|Poisson Boltzmann calculations performed using internal PBSA solver in sander
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

POISSON BOLTZMANN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1443.75         33.10      33.10         2.09       2.09
ANGLE                  3816.10         44.03      44.03         2.78       2.78
DIHED                  4899.32         29.67      29.67         1.87       1.87
VDWAALS               -3909.88         28.24      28.24         1.78       1.78
EEL                  -33434.78        123.37     123.37         7.79       7.79
1-4 VDW                1762.94         17.41      17.41         1.10       1.10
1-4 EEL               19541.84         60.08      60.08         3.79       3.79
EPB                   -4947.51         94.68      94.68         5.98       5.98
ENPOLAR                 106.78          1.42       1.42         0.09       0.09
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -5880.72        154.43     117.22         9.75       7.40
GSOLV                 -4840.74         94.69      94.31         5.98       5.95

TOTAL                -10721.45        181.15      63.50        11.43       4.01

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1437.60         33.23      33.23         2.10       2.10
ANGLE                  3794.53         43.91      43.91         2.77       2.77
DIHED                  4864.33         29.63      29.63         1.87       1.87
VDWAALS               -3876.71         28.32      28.32         1.79       1.79
EEL                  -33428.16        123.89     123.89         7.82       7.82
1-4 VDW                1757.54         17.45      17.45         1.10       1.10
1-4 EEL               19556.26         60.10      60.10         3.79       3.79
EPB                   -4957.18         94.66      94.66         5.98       5.98
ENPOLAR                 107.88          1.44       1.44         0.09       0.09
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                  -5894.60        154.85     117.20         9.77       7.40
GSOLV                 -4849.30         94.67      94.30         5.98       5.95

TOTAL                -10743.90        181.50      63.12        11.46       3.98

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                      6.15          1.99       1.99         0.13       0.13
ANGLE                    21.56          3.54       3.54         0.22       0.22
DIHED                    34.99          2.29       2.29         0.14       0.14
VDWAALS                  -1.98          1.19       1.19         0.08       0.08
EEL                       1.51          0.55       0.55         0.03       0.03
1-4 VDW                   5.40          0.88       0.88         0.06       0.06
1-4 EEL                 -14.42          0.57       0.57         0.04       0.04
EPB                     -10.64          0.35       0.35         0.02       0.02
ENPOLAR                   2.31          0.02       0.02         0.00       0.00
EDISPER                   0.00          0.00       0.00         0.00       0.00

GGAS                     53.20          4.96       3.95         0.31       0.25
GSOLV                    -8.33          0.35       0.35         0.02       0.02

TOTAL                    44.86          4.97       3.97         0.31       0.25

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          1.86       0.00         0.12       0.00
ΔANGLE                    0.00          3.42       0.00         0.22       0.00
ΔDIHED                    0.00          2.25       0.00         0.14       0.00
ΔVDWAALS                -31.19          1.11       1.99         0.07       0.13
ΔEEL                     -8.12          0.04       3.44         0.00       0.22
Δ1-4 VDW                 -0.00          0.84       0.00         0.05       0.00
Δ1-4 EEL                 -0.00          0.55       0.00         0.03       0.00
ΔEPB                     20.30          0.34       2.93         0.02       0.19
ΔENPOLAR                 -3.40          0.00       0.11         0.00       0.01
ΔEDISPER                  0.00          0.00       0.00         0.00       0.00

ΔGGAS                   -39.31          1.11       4.10         0.07       0.26
ΔGSOLV                   16.90          0.34       2.91         0.02       0.18

ΔTOTAL                  -22.41          1.16       2.96         0.07       0.19
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
